School,"OH 
(registration)",Code,Borough,Admissions Type,Notes,"Commute 
(min)","STEM (labs, research, pre-med/engineering)",Soccer or other sports,Rigor vs ADHD supports,Admissions type detail,Lottery impact,Seats vs demand,Commute time notes,Counseling/IEP/504 friendliness,College advising / research,"Arts outcomes (portfolio shows, competitions, design classes)",Clubs/extracurriculars,Notes,Admission,Teaching Philospophy,Advanced Classes,Language s
Brooklyn Technical HS,In person,K31R,Brooklyn,SHSAT,Top-tier STEM labs; reachable via G,35,"Strong STEM focus; labs, APs, research",Has PSAL soccer program,,Single test admission,None,Very high demand; selective,,,Excellent outcomes; strong advising,Arts electives; not main focus,,Students declare a major in junior and senior;   and select AP classes but access to these might be limited,SHSAT - 505,,,
Bronx HS of Science,In person,X445R,Bronx,SHSAT,Science powerhouse; ~1 hr commute,60,"Strong STEM focus; labs, APs, research",Has PSAL soccer program,,Single test admission,None,Very high demand; selective,,,Excellent outcomes; strong advising,Arts electives; not main focus,,,SHSAT - 518,,,
Stuyvesant HS,In person,M475R,Manhattan,SHSAT,Elite STEM; JM/L → 1 train,45,General academics with STEM electives,Has PSAL soccer program,,Single test admission,None,Very high demand; selective,,,Excellent outcomes; strong advising,Arts electives; not main focus,,,SHSAT - 556,,,
Townsend Harris HS,In person,Q525M,Queens,Screened,Elite screened; Queens,60,Strong academics; humanities + STEM mix,Standard athletics program,,"Grades/test scores/essays used, then lottery tie-break",Low (lottery tie-break within grade band),Very high demand; selective,,,Excellent outcomes; strong advising,Arts electives; not main focus,,,,,,
NEST+m HS,In person,M539M,Manhattan,Screened,Accelerated academics; LES,30,General academics with STEM electives,Standard athletics program,,"Grades/test scores/essays used, then lottery tie-break",Low (lottery tie-break within grade band),Varies; check DOE directory,,,Good outcomes; depends on program,Arts electives; not main focus,,,,,,
Millennium HS (Manhattan),Virtual,M418M,Manhattan,Screened,Rigorous; Financial District,40,General academics with STEM electives,Standard athletics program,,"Grades/test scores/essays used, then lottery tie-break",Low (lottery tie-break within grade band),Varies; check DOE directory,,,Good outcomes; depends on program,Arts electives; not main focus,,,,,,
LaGuardia HS (Visual Arts),In person,M485A,Manhattan,Audition (Art),Visual Arts program,55,General academics with STEM electives,Standard athletics program,,Portfolio/audition based,None,Very high demand; selective,,,Good outcomes; depends on program,Strong visual/fashion arts; portfolio/exhibitions,,,,,,
HS of Art & Design (Fine Arts),Virtual,M630A,Manhattan,Audition (Art/Design),Fine Arts/Illustration/Graphic,40,General academics with STEM electives,Standard athletics program,,Portfolio/audition based,None,Varies; check DOE directory,,,Good outcomes; depends on program,Strong visual/fashion arts; portfolio/exhibitions,,,,,,
Brooklyn Latin School,In person,K449R,Brooklyn,SHSAT,Rigorous IB-style; on the L line,25,General academics with STEM electives,Standard athletics program,,Single test admission,None,Varies; check DOE directory,,,Good outcomes; depends on program,Arts electives; not main focus,,,SHSAT - 496,,,
Beacon HS,In person,M479M,Manhattan,Screened,Project-based; Midtown West,45,Strong academics; humanities + STEM mix,Standard athletics program,,"Grades/test scores/essays used, then lottery tie-break",Low (lottery tie-break within grade band),Very high demand; selective,,,Excellent outcomes; strong advising,Arts electives; not main focus,,,,,,
Eleanor Roosevelt HS,In person,M435Q,Manhattan,Screened,"UES; small, selective",50,General academics with STEM electives,Standard athletics program,,"Grades/test scores/essays used, then lottery tie-break",Low (lottery tie-break within grade band),Varies; check DOE directory,,,Good outcomes; depends on program,Arts electives; not main focus,,,,,,
Baruch College Campus HS,,M411M,Manhattan,Screened,"23rd St; small, strong academics",40,General academics with STEM electives,Standard athletics program,,"Grades/test scores/essays used, then lottery tie-break",Low (lottery tie-break within grade band),Varies; check DOE directory,,,Good outcomes; depends on program,Arts electives; not main focus,,,,,,
Millennium HS (Brooklyn),,K684M,Brooklyn,Screened,Brooklyn option; G accessible,30,General academics with STEM electives,Standard athletics program,,"Grades/test scores/essays used, then lottery tie-break",Low (lottery tie-break within grade band),Varies; check DOE directory,,,Good outcomes; depends on program,Arts electives; not main focus,,,,,,
HS of American Studies @ Lehman,,X696R,Bronx,SHSAT,Humanities-heavy; STEM APs; ~1 hr,60,General academics with STEM electives,Standard athletics program,,Single test admission,None,Varies; check DOE directory,,,Good outcomes; depends on program,Arts electives; not main focus,,,,,,
